あいすたべたいです,アイス食べたいです
あたまいたいです,頭痛いです
あたまおかしいんですか,頭おかしいんですか
あっちいってもらえますか,あっちいってもらえますか
あんぱんかってこい,あんぱん買ってこい笑
ありがとうございます,ありがとうございます
あいうえお,あいうえお
あおにさいが,青二才が！
あきました,飽きました
あくまめ,悪魔め！
あけないよるはない,明けない夜はない
あこぎなしょうばいですね,アコギな商売ですね...
あさですよ,朝ですよ
あしいたいです,足痛いです
あしたなにかありますか,明日何かありますか？
あせくさいっす,汗臭いっす
あそんで,遊んでー！
あちらへどうぞ,あちらへどうぞ
あつくないですか,暑くないですか？
あてはあるんですか,当てはあるんですか？
あとどれくらいですか,あとどれくらいですか？
あながあったらはいりたい,穴があったら入りたい
あにき,アニキ！！
あねがさきねねはおれのよめ,姉ヶ崎寧々は俺の嫁？
あはははは,あはははは
あひーじょつくれますか,アヒージョ作れますか？
あほー,アホー
あまったらください,余ったらください
あめいじんぐ,アメイジング！！
あむうぇい,アムウェイ？
あめふってる,雨降ってる？
あやとりしよう,あやとりしよう？
あゆみよってくださいよ,歩み寄ってくださいよ
あわてないで,慌てないで！
あらがめだちますね,粗が目立ちますね
ありじごくにおちろ,蟻地獄に落ちろ
あるべきところへかえれ,あるべきところへ帰れ
あれですよ、あれ,あれですよ、あれ
アロハ,アロハ！
